act_name,act_year,remap_act_name,remap_act_year
Technical And Miscellaneous Revenue,1988.0,,
Telecommunications,1996.0,,
Telephone Consumer Protection,1991.0,Federal Telephone Consumer Protection,1991.0
Terrorism Risk Insurance,2002.0,,
Terrorism Risk Insurance Extension,2005.0,,
Terrorism Risk Insurance Program Reauthorization,2007.0,,
Terrorism Risk Insurance Reauthorization,2007.0,Terrorism Risk Insurance Program Reauthorization,2007.0
Tila,1968.0,Truth In Lending,1968.0
Toxic Substances Control,1976.0,,
Toxic Substances Recovery,1976.0,,
Trade,1974.0,,
Trade Sanctions Reform and Export Enhancement,2000.0,,
Trademark,1946.0,,
Trading with the Enemy,1917.0,,
Trucking Industry Regulatory Reform,1994.0,,
Trust Indenture,1939.0,,
Trust Indenture Reform,1990.0,,
Truth In Lending,1968.0,,
Truth In Negotiation,1962.0,,
Truth In Savings,1991.0,Federal Deposit Insurance Corporation Improvement,1991.0
Tunney,1974.0,Antitrust Procedures And Penalties,1974.0
U . S . Oil Pollution,1990.0,,
U . S . Securities,1933.0,Securities,1933.0
U . S . Securities Exchange,1934.0,Securities Exchange,1934.0
Uniformed Services Employment And Reemployment Rights,1994.0,,
United States Employee Retirement Income Security,1974.0,Employee Retirement Income Security,1974.0
United States Housing,1937.0,,
United States Oil Pollution,1990.0,Oil Pollution,1990.0
United States Private Securities Litigation Reform,1995.0,Private Securities Litigation Reform,1995.0
United States Securities,1933.0,Securities,1933.0
United States Securities Exchange,1934.0,Securities Exchange,1934.0
Uniting And Strengthening America By Providing Appropriate Tools Required To Intercept And Obstruct Terrorism,2001.0,,
Uniting And Strengthening America By Providing Appropriate Tools Required To Intercept And Obstruct Terrorism ( Usa Patriot,2001.0,Uniting And Strengthening America By Providing Appropriate Tools Required To Intercept And Obstruct Terrorism,2001.0
Usa Patriot,2001.0,Uniting And Strengthening America By Providing Appropriate Tools Required To Intercept And Obstruct Terrorism,2001.0
Usec Privatization,1996.0,,
Used Oil Recycling,1980.0,,
Veterans Health Care ,1992.0,,
Vhc,1992.0,Veterans Health Care ,1992.0
Virginia Electric Utility Restructuring,1999.0,,
Wagner,1935.0,National Labor Relations,1935.0
Water Power,1920.0,,
Water Quality,1987.0,,
Waxman Hatch,1984.0,Drug Price Competition and Patent Term Restoration,1984.0
Wire,1961.0,Interstate Wire,1961.0
Work Incentives Improvement,1999.0,,
Worker Adjustment And Retraining Notification,1988.0,,
"Worker, Homeownership, And Business Assistance",2009.0,,
"Worker, Retiree And Employer Recovery",2008.0,"Worker, Retiree, And Employer Recovery",2008.0
"Worker, Retiree, And Employer Recovery",2008.0,,
Year 2000 Information And Readiness Disclosure,1998.0,,
