act_name,act_year
Department Of Homeland Security Interoperable Communications,
Boys Town Centennial Commemorative Coin,
Veterans Identification Card,
Notice Of Observation Treatment And Implication For Care Eligibility,
Drinking Water Protection,
Sawtooth National Recreation Area And Jerry Peak Wilderness Additions,
Land Management Workforce Flexibility,
National Windstorm Impact Reduction,
New Mexico Navajo Water Settlement Technical Corrections,
Protecting Affordable Coverage For Employees,
Albuquerque Indian School Land Transfer,
Adoptive Family Relief,
Quarterly Financial Report Reauthorization,
Improving Regulatory Transparency For New Medical Therapies,
U . S . Commercial Space Launch Competitiveness,
National Defense Authorization,
Fixing America S Surface Transportation,
Every Student Succeeds,
Further Continuing Appropriations,
Improving Access To Emergency Psychiatric Care,
Grassroots Rural And Small Community Water Systems Assistance,
Billy Frank Jr . Tell Your Story,
Consolidated Appropriations,
Treasury Appropriations,
President Appropriations,
"Interior, Environment, And Related Agencies Appropriations",
Patient Access And Medicare Protection,
Grants Oversight And New Efficiency,
Research Excellence And Advancements For Dyslexia,
Older Americans,
Fda Priority Review Voucher Program,
Breast Cancer Awareness Commemorative Coin,
Protect And Preserve International Cultural Property,
National Bison Legacy,
Native American Children' S Safety,
Indian Trust Asset Reform,
21St Century,
Recovering Missing Children,
"Puerto Rico Oversight, Management, And Economic Stability",
Female Veteran Suicide Prevention,
John F . Kennedy Centennial Commission,
Native American Tourism And Improving Visitor Experience,
Justice Against Sponsors Of Terrorism,
"Continuing Appropriations And Military Construction, Veterans Affairs, And Related Agencies Appropriations",
United States Centennial Commission,
Korean War Veterans Memorial Wall Of Remembrance,
Nevada Native Nations Land,
Bathrooms Accessible In Every Situation,
Veterans Day Moment Of Silence,
Treatment Of Certain Payments In Eugenics Compensation,
Alyce Spotted Bear And Walter Soboleff Commission On Native Children,
National Forest System Trails Stewardship,
Gold Star Families Voices,
No Veterans Crisis Line Call Should Go Unanswered,
Further Continuing And Security Assistance Appropriations,
21St Century Cures,
District Of Columbia Judicial Financial Transparency,
Program Management Improvement Accountability,
Northern Border Security Review,
First Responder Anthrax Preparedness,
Office Of Strategic Services Congressional Gold Medal,
Expanding Capacity For Health Outcomes,
Iran Sanctions Extension,
